Index,Energy
970,0.679
971,0.31
972,0.716
973,0.541
974,0.704
975,0.848
976,0.741
977,0.699
978,0.267
979,0.272
980,0.676
981,0.507
982,0.526
983,0.742
984,0.181
985,0.55
986,0.553
987,0.857
988,0.909
989,0.637
990,0.598
991,0.696
992,0.372
993,0.663
994,0.764
995,0.723
996,0.5
997,0.787
998,0.528
999,0.76
1000,0.452
1001,0.545
1002,0.327
1003,0.618
1004,0.663
1005,0.786
1006,0.375
1007,0.665
1008,0.695
1009,0.67
1010,0.671
1011,0.528
1012,0.543
1013,0.638
1014,0.642
1015,0.745
1016,0.542
1017,0.848
1018,0.422
1019,0.619
1020,0.787
1021,0.808
1022,0.672
1023,0.536
1024,0.514
1025,0.499
1026,0.498
1027,0.653
1028,0.787
1029,0.668
1030,0.528
1031,0.373
1032,0.447
1033,0.783
1034,0.847
1035,0.506
1036,0.748
1037,0.733
1038,0.746
1039,0.377
1040,0.767
1041,0.39
1042,0.616
1043,0.605
1044,0.564
1045,0.717
1046,0.474
1047,0.676
1048,0.64
1049,0.579
1050,0.762
1051,0.479
1052,0.621
1053,0.66
1054,0.603
1055,0.579
1056,0.786
1057,0.845
1058,0.822
1059,0.769
1060,0.578
1061,0.748
1062,0.555
1063,0.527
1064,0.835
1065,0.546
1066,0.641
1067,0.654
1068,0.841
1069,0.863
1070,0.797
1071,0.734
1072,0.505
1073,0.904
1074,0.502
1075,0.641
1076,0.625
1077,0.694
1078,0.631
1079,0.578
1080,0.835
1081,0.621
1082,0.343
1083,0.541
1084,0.83
1085,0.61
1086,0.451
1087,0.836
1088,0.916
1089,0.572
1090,0.512
1091,0.676
1092,0.672
1093,0.825
1094,0.749
1095,0.308
1096,0.744
1097,0.787
1098,0.868
1099,0.799
1100,0.689
1101,0.77
1102,0.704
1103,0.491
1104,0.72
1105,0.461
1106,0.448
1107,0.618
1108,0.599
1109,0.672
1110,0.728
1111,0.491
1112,0.557
1113,0.7
1114,0.565
1115,0.542
1116,0.657
1117,0.674
1118,0.463
1119,0.703
1120,0.729
1121,0.809
1122,0.698
1123,0.624
1124,0.632
1125,0.75
1126,0.308
1127,0.441
1128,0.583
1129,0.88
1130,0.927
1131,0.923
1132,0.792
1133,0.804
1134,0.878
1135,0.853
1136,0.297
1137,0.799
1138,0.297
1139,0.826
1140,0.633
1142,0.596
1143,0.649
1144,0.632
1145,0.617
1146,0.606
1147,0.635
1148,0.645
1149,0.827
1150,0.586
1151,0.731
1152,0.455
1153,0.793
1154,0.504
1155,0.653
1156,0.741
1157,0.827
1158,0.5
1159,0.877
1160,0.869
1161,0.585
1162,0.541
1163,0.945
1164,0.572
1165,0.628
1166,0.464
1167,0.693
1168,0.8
1169,0.757
1170,0.808
1171,0.667
1172,0.373
1173,0.526
1174,0.833
1175,0.937
1176,0.584
1177,0.52
1178,0.581
1179,0.808
1180,0.536
1181,0.128
1182,0.727
1183,0.656
1184,0.569
1185,0.764
1186,0.531
1187,0.65
1188,0.791
1189,0.766
1190,0.406
1191,0.791
1192,0.789
1193,0.68
1194,0.441
1195,0.682
1196,0.219
1197,0.706
1198,0.477
1199,0.506
1200,0.452
1201,0.636
1202,0.82
1203,0.824
1204,0.792
1205,0.477
1206,0.57
1207,0.618
1208,0.512
1209,0.366
1210,0.491
1211,0.624
1212,0.797
1213,0.449
1214,0.588
1215,0.492
1216,0.7
1217,0.72
1218,0.538
1219,0.628
1220,0.554
1221,0.519
1222,0.477
1223,0.696
1224,0.806
1225,0.668
1226,0.832
1227,0.768
1228,0.759
1229,0.706
1230,0.612
1231,0.72
1232,0.578
1233,0.598
1234,0.766
1235,0.651
1236,0.617
1237,0.687
1238,0.787
1239,0.518
1240,0.547
1241,0.823
1242,0.594
1243,0.712
1244,0.361
1245,0.911
1246,0.511
1247,0.389
1248,0.832
1249,0.813
1250,0.589
1251,0.892
1252,0.483
1253,0.561
1254,0.62
1255,0.612
1256,0.608
1257,0.689
1258,0.602
1259,0.474
1260,0.519
1261,0.785
1262,0.813
1263,0.701
1264,0.498
1265,0.652
1266,0.486
1267,0.783
1268,0.556
1269,0.863
1270,0.768
1271,0.605
1272,0.611
1273,0.524
1274,0.588
1275,0.766
1276,0.604
1277,0.75
1278,0.461
1279,0.619
1280,0.394
1281,0.561
1282,0.709
1283,0.911
1284,0.738
1285,0.634
1286,0.676
1287,0.726
1288,0.448
1289,0.787
1290,0.582
1291,0.808
1292,0.646
1293,0.732
1294,0.558
1295,0.525
1296,0.81
1297,0.854
1298,0.567
1299,0.739
1300,0.497
1301,0.535
1302,0.677
1303,0.748
1304,0.398
1305,0.787
1306,0.654
1307,0.65
1308,0.801
1309,0.622
1310,0.598
1311,0.768
1312,0.582
1313,0.607
1314,0.665
1315,0.629
1316,0.586
1317,0.345
1318,0.563
1319,0.601
1320,0.683
1321,0.656
1322,0.547
1323,0.758
1324,0.553
1325,0.836
1326,0.665
1327,0.368
1328,0.684
1329,0.599
1330,0.771
1331,0.752
1332,0.757
1333,0.556
1334,0.768
1335,0.703
1336,0.388
1337,0.719
1338,0.784
1339,0.848
1340,0.635
1341,0.508
1342,0.436
1343,0.707
1344,0.563
1345,0.733
1346,0.654
1347,0.708
1348,0.686
1349,0.764
1350,0.621
1351,0.538
1352,0.558
1353,0.726
1354,0.545
1355,0.652
1356,0.45
1357,0.611
1358,0.678
1359,0.486
1360,0.552
1361,0.762
1362,0.509
1363,0.715
1364,0.798
1365,0.901
1366,0.457
1367,0.539
1368,0.781
1369,0.566
1370,0.64
1371,0.714
1372,0.739
1373,0.679
1374,0.791
1375,0.671
1376,0.815
1377,0.783
1378,0.459
1379,0.624
1380,0.388
1381,0.667
1382,0.824
1383,0.548
1384,0.747
1385,0.575
1386,0.696
1387,0.646
1388,0.903
1389,0.798
1390,0.84
1391,0.755
1392,0.757
1393,0.744
1394,0.444
1395,0.869
1396,0.556
1397,0.644
1398,0.656
1399,0.648
1400,0.748
1401,0.131
1402,0.577
1403,0.627
1404,0.681
1405,0.443
1406,0.438
1407,0.508
1408,0.777
1409,0.603
1410,0.608
1411,0.848
1412,0.412
1413,0.315
1414,0.633
1415,0.494
1416,0.873
1417,0.616
1418,0.807
1419,0.592
1420,0.437
1421,0.612
1422,0.921
1423,0.88
1424,0.32
1425,0.351
1426,0.78
1427,0.84
1428,0.304
1429,0.534
1430,0.372
1431,0.546
1432,0.637
1433,0.438
1434,0.785
1435,0.491
1436,0.892
1437,0.528
1438,0.508
1439,0.759
1440,0.709
1441,0.498
1442,0.542
1443,0.758
1444,0.666
1445,0.662
1446,0.689
1447,0.496
1448,0.408
1449,0.4
1450,0.631
1451,0.525
1452,0.86
1453,0.364
1454,0.79
1455,0.575
1456,0.679
1457,0.637
1458,0.731
1459,0.588
1460,0.592
1461,0.583
1462,0.669
1463,0.828
1464,0.824
1465,0.498
1466,0.496
1467,0.83
1468,0.594
1469,0.412
1470,0.586
1471,0.547
1472,0.623
1473,0.82
1474,0.553
1475,0.684
1476,0.752
1477,0.703
1478,0.748
1479,0.747
1480,0.731
1481,0.564
1482,0.448
1483,0.798
1484,0.712
1485,0.642
1486,0.767
1487,0.637
1488,0.503
1489,0.33
1490,0.747
1491,0.36
1492,0.745
1493,0.493
1494,0.805
1495,0.966
1496,0.899
1497,0.362
1498,0.664
1499,0.599
1500,0.231
1501,0.811
1502,0.543
1503,0.661
1504,0.182
1505,0.499
1506,0.054
1507,0.535
1508,0.627
1509,0.57
1510,0.713
1511,0.573
1512,0.552
1513,0.51
1514,0.415
1515,0.62
1516,0.712
1517,0.841
1518,0.405
1519,0.571
1520,0.777
1521,0.648
1522,0.8
1523,0.673
1524,0.479
1525,0.753
1526,0.881
1527,0.82
1528,0.773
1529,0.294
1530,0.446
1531,0.683
1532,0.801
1533,0.607
1534,0.6
1535,0.789
1536,0.594
1537,0.836
1538,0.717
1540,0.758
1541,0.882
1542,0.862
1543,0.719
1544,0.459
1545,0.676
1546,0.516
1547,0.13
1548,0.73
1549,0.619
1550,0.537
1551,0.778
1552,0.7
1553,0.87
1554,0.523
1555,0.55
1556,0.603
